topology,phase,version,host,step,value,unit
same,teardown,before,104,residual,0.009491472000718204,phase wall seconds per 1000 endpoints
same,teardown,after,103,residual,0.004233579003994237,phase wall seconds per 1000 endpoints
same,teardown,after,104,residual,0.004512391000389471,phase wall seconds per 1000 endpoints
same,teardown,before,103,endpoint_total,21.38542650499994,phase wall seconds per 1000 endpoints
same,teardown,before,104,endpoint_total,22.11527607700009,phase wall seconds per 1000 endpoints
same,teardown,after,103,endpoint_total,1.1032713469994633,phase wall seconds per 1000 endpoints
same,teardown,after,104,endpoint_total,1.029113447000782,phase wall seconds per 1000 endpoints
same,teardown,before,103,pool_finalize,0,phase wall seconds per 1000 endpoints
same,teardown,before,104,pool_finalize,0,phase wall seconds per 1000 endpoints
same,teardown,after,103,pool_finalize,18.788529991999894,phase wall seconds per 1000 endpoints
same,teardown,after,104,pool_finalize,19.735865526999987,phase wall seconds per 1000 endpoints
same,teardown,before,103,final_total,21.38542650499994,phase wall seconds per 1000 endpoints
same,teardown,before,104,final_total,22.11527607700009,phase wall seconds per 1000 endpoints
same,teardown,after,103,final_total,19.891801338999358,phase wall seconds per 1000 endpoints
same,teardown,after,104,final_total,20.76497897400077,phase wall seconds per 1000 endpoints
cross,setup,before,103,docker_pid_lookup,206.01417749100074,mean step latency ms per endpoint
cross,setup,before,104,docker_pid_lookup,204.01270498300119,mean step latency ms per endpoint
cross,setup,after,103,docker_pid_lookup,0.0,mean step latency ms per endpoint
cross,setup,after,104,docker_pid_lookup,0.0,mean step latency ms per endpoint
cross,setup,before,103,endpoint_veth,0.89003964499625,mean step latency ms per endpoint
cross,setup,before,104,endpoint_veth,0.8752286039948558,mean step latency ms per endpoint
cross,setup,after,103,endpoint_veth,3.364085988014267,mean step latency ms per endpoint
cross,setup,after,104,endpoint_veth,3.1823155890106136,mean step latency ms per endpoint
cross,setup,before,103,namespace_address,219.58352298098725,mean step latency ms per endpoint
cross,setup,before,104,namespace_address,218.13105128699908,mean step latency ms per endpoint
cross,setup,after,103,namespace_address,0.0,mean step latency ms per endpoint
cross,setup,after,104,namespace_address,0.0,mean step latency ms per endpoint
cross,setup,before,103,endpoint_namespace,2.22406899100406,mean step latency ms per endpoint
cross,setup,before,104,endpoint_namespace,2.2821320950015433,mean step latency ms per endpoint
cross,setup,after,103,endpoint_namespace,8.064144441050303,mean step latency ms per endpoint
cross,setup,after,104,endpoint_namespace,7.663545459970919,mean step latency ms per endpoint
cross,setup,before,103,bridge_attach,0.9443332029950398,mean step latency ms per endpoint
cross,setup,before,104,bridge_attach,0.9624209819953649,mean step latency ms per endpoint
cross,setup,after,103,bridge_attach,12.061696920987742,mean step latency ms per endpoint
cross,setup,after,104,bridge_attach,11.526814272036063,mean step latency ms per endpoint
cross,setup,before,103,stale_same_host_cleanup,0.1248625880034524,mean step latency ms per endpoint
cross,setup,before,104,stale_same_host_cleanup,0.1394122760002574,mean step latency ms per endpoint
cross,setup,after,103,stale_same_host_cleanup,0.0,mean step latency ms per endpoint
cross,setup,after,104,stale_same_host_cleanup,0.0,mean step latency ms per endpoint
cross,setup,before,103,vxlan,0.672763748993475,mean step latency ms per endpoint
cross,setup,before,104,vxlan,0.716791269998339,mean step latency ms per endpoint
cross,setup,after,103,vxlan,4.686633562969291,mean step latency ms per endpoint
cross,setup,after,104,vxlan,4.543669242957549,mean step latency ms per endpoint
cross,setup,before,103,key_salt_hash,217.74482145599586,mean step latency ms per endpoint
cross,setup,before,104,key_salt_hash,222.34723589700343,mean step latency ms per endpoint
cross,setup,after,103,key_salt_hash,0.0,mean step latency ms per endpoint
cross,setup,after,104,key_salt_hash,0.0,mean step latency ms per endpoint
cross,setup,before,103,crypto_install,6.211803014001362,mean step latency ms per endpoint
cross,setup,before,104,crypto_install,6.376581917999374,mean step latency ms per endpoint
cross,setup,after,103,crypto_install,10.181084011026542,mean step latency ms per endpoint
cross,setup,after,104,crypto_install,9.786214496025423,mean step latency ms per endpoint
cross,setup,before,103,crypto_attach,0.0011690139936035848,mean step latency ms per endpoint
cross,setup,before,104,crypto_attach,0.0011366039943823125,mean step latency ms per endpoint
cross,setup,after,103,crypto_attach,3.0658850179861474,mean step latency ms per endpoint
cross,setup,after,104,crypto_attach,2.937648100012666,mean step latency ms per endpoint
cross,setup,before,103,ip_forward,1.7442127860035725,mean step latency ms per endpoint
cross,setup,before,104,ip_forward,1.7465364710028553,mean step latency ms per endpoint
cross,setup,after,103,ip_forward,0.0,mean step latency ms per endpoint
cross,setup,after,104,ip_forward,0.0,mean step latency ms per endpoint
cross,setup,before,103,forward_policy,186.97328006099315,mean step latency ms per endpoint
cross,setup,before,104,forward_policy,186.40636954599995,mean step latency ms per endpoint
cross,setup,after,103,forward_policy,0.0,mean step latency ms per endpoint
cross,setup,after,104,forward_policy,0.0,mean step latency ms per endpoint
cross,teardown,before,103,crypto_remove,1.1273808369996914,phase wall seconds per 1000 endpoints
cross,teardown,before,104,crypto_remove,0.9527760510000007,phase wall seconds per 1000 endpoints
cross,teardown,after,103,crypto_remove,0.10849063400019077,phase wall seconds per 1000 endpoints
cross,teardown,after,104,crypto_remove,0.09373600999970222,phase wall seconds per 1000 endpoints
cross,teardown,before,103,link_dump,0.03520511099986834,phase wall seconds per 1000 endpoints
cross,teardown,before,104,link_dump,0.029671421000330156,phase wall seconds per 1000 endpoints
cross,teardown,after,103,link_dump,0.03249129200048628,phase wall seconds per 1000 endpoints
cross,teardown,after,104,link_dump,0.029730593998465338,phase wall seconds per 1000 endpoints
cross,teardown,before,103,regroup,0.06066882599952805,phase wall seconds per 1000 endpoints
cross,teardown,before,104,regroup,0.05487446900042414,phase wall seconds per 1000 endpoints
cross,teardown,after,103,regroup,0.04655084199839621,phase wall seconds per 1000 endpoints
cross,teardown,after,104,regroup,0.04367634400114184,phase wall seconds per 1000 endpoints
cross,teardown,before,103,link_delete,39.60681719200011,phase wall seconds per 1000 endpoints
cross,teardown,before,104,link_delete,41.75468264100027,phase wall seconds per 1000 endpoints
cross,teardown,after,103,link_delete,0.7347175150007388,phase wall seconds per 1000 endpoints
cross,teardown,after,104,link_delete,0.6216607180012943,phase wall seconds per 1000 endpoints
cross,teardown,before,103,last_peer_crypto,0,phase wall seconds per 1000 endpoints
cross,teardown,before,104,last_peer_crypto,0,phase wall seconds per 1000 endpoints
cross,teardown,after,103,last_peer_crypto,0.0019810339999821736,phase wall seconds per 1000 endpoints
