topology,phase,host,before_seconds,after_endpoint_seconds,after_cold_or_final_seconds,after_endpoints_per_second,speedup
same,setup,103,26.604192502999922,1.5463134170004196,1.7550974440000573,646.6994265236519,17.20491603481489
same,setup,104,26.947208798000247,1.503510021000693,1.7484196850000444,665.1102992545594,17.92286610771304
same,teardown,103,21.38542650499994,1.1032713469994633,19.891801338999358,906.3953330426576,19.383650779258698
same,teardown,104,22.11527607700009,1.029113447000782,20.76497897400077,971.7101675372825,21.489638621915013
cross,setup,103,26.886031524999908,1.3071625540014793,1.5286104780007008,765.0157946605839,20.568238772367312
cross,setup,104,26.8693743609997,1.247962567000286,1.5062605540006189,801.3060859699414,21.530593201673764
cross,teardown,103,40.83580248399994,1.1422001740011183,20.0078421420003,875.5032810903957,35.751879060701285
cross,teardown,104,42.794805046999954,1.0044176560004416,20.389772473999983,995.6017738497026,42.606583816345356
