host,file,n,mode,endpoint_type,workers,delete_batch,bridge_pool,setup_seconds,teardown_seconds,pool_finalize_seconds,errors
104,dedicated-verified-native-marked_ipsec-batch-exact-2.json,1000,marked_ipsec,docker,32,256,True,1.3005697970002075,1.0044176560004416,19.878473148999547,0
104,dedicated-verified-native-same_macsec-batch-exact-0.json,1000,same_macsec,docker,32,256,True,1.5827909279996675,1.0385839139999007,19.303476221999517,0
104,dedicated-verified-native-same_macsec-batch-exact-1.json,1000,same_macsec,docker,32,256,True,1.503510021000693,1.029113447000782,19.735865526999987,0
104,dedicated-verified-native-same_macsec-batch-exact-2.json,1000,same_macsec,docker,32,256,True,1.440755927000282,0.9894029629995202,19.910825659000693,0
104,standalone-before-current-same_macsec-separate-current-0.json,1000,same_macsec,standalone,32,128,False,25.886721271999704,22.86172220899971,0,0
104,standalone-before-current-same_macsec-separate-current-1.json,1000,same_macsec,standalone,32,128,False,26.372595077999904,23.458390187999612,0,0
104,standalone-before-current-same_macsec-separate-current-2.json,1000,same_macsec,standalone,32,128,False,26.24862488799954,22.756447050000133,0,0
104,standalone-before-current-unique_ipsec-separate-current-0.json,1000,unique_ipsec,standalone,32,128,False,26.113668330999644,42.392962511000405,0,0
104,standalone-before-current-unique_ipsec-separate-current-1.json,1000,unique_ipsec,standalone,32,128,False,26.258003933999134,44.781558896000206,0,0
104,standalone-before-current-unique_ipsec-separate-current-2.json,1000,unique_ipsec,standalone,32,128,False,26.060352700000294,43.79920314800074,0,0
